x,y
1,0.0067048
0.975,0.0139926
0.95,0.020608
0.925,0.026804
0.9,0.0326644
0.875,0.0382346
0.85,0.0435425
0.825,0.0486068
0.8,0.0534205
0.775,0.0579047
0.75,0.0619809
0.725,0.0655845
0.7,0.0686788
0.675,0.0713066
0.65,0.0735194
0.6,0.0768606
0.55,0.0789511
0.5,0.0799403
0.45,0.0799197
0.4,0.0789391
0.35,0.0770111
0.3,0.0741084
0.25,0.0701534
0.2,0.0649921
0.15,0.0583329
0.1,0.0495761
0.075,0.0440112
0.05,0.0371614
0.025,0.0279512
0.01,0.0191648
0.0075,0.0168408
0.005,0.0138492
0.0025,0.0095832
0.001,0.0057438
0,0
0.001,-0.0038143
0.0025,-0.0055495
0.005,-0.0072255
0.0075,-0.0083914
0.01,-0.0093433
0.025,-0.0135634
0.05,-0.0185116
0.075,-0.0224116
0.1,-0.0257469
0.15,-0.0313881
0.2,-0.0360983
0.25,-0.0400197
0.3,-0.043187
0.35,-0.0456
0.4,-0.0472331
0.45,-0.0480362
0.5,-0.0479335
0.55,-0.0466949
0.6,-0.0435428
0.65,-0.0377747
0.675,-0.034048
0.7,-0.0299031
0.725,-0.0254589
0.75,-0.0208497
0.775,-0.0162334
0.8,-0.0118038
0.825,-0.0078103
0.85,-0.0045202
0.875,-0.0020064
0.9,-0.0002953
0.925,0.0005649
0.95,0.0004901
0.975,-0.0006865
1,-0.0034857
